Source	IRI	Intermediates	Predicates
chebi	http://purl.obolibrary.org/obo/chebi.owl	none	IAO:0000115 rdfs:label
cl	http://purl.obolibrary.org/obo/cl.owl	none	IAO:0000115 IAO:0000118 rdfs:label
clo	http://purl.obolibrary.org/obo/clo.owl	none	IAO:0000115 IAO:0000118 rdfs:label
envo	http://purl.obolibrary.org/obo/envo.owl	none	IAO:0000115 IAO:0000118 rdfs:label
go	http://purl.obolibrary.org/obo/go.owl	none	IAO:0000115 rdfs:label
hp	http://purl.obolibrary.org/obo/hp.owl	none	IAO:0000115 IAO:0000118 rdfs:label
ido	http://purl.obolibrary.org/obo/ido.owl	none	IAO:0000115 IAO:0000118 rdfs:label
ncbitaxon	http://purl.obolibrary.org/obo/ncbitaxon.owl	all	IAO:0000115 oio:hasExactSynonym rdfs:label
ogms	http://purl.obolibrary.org/obo/ogms.owl	none	IAO:0000115 rdfs:label
omiabis	http://purl.obolibrary.org/obo/omiabis.owl	all	IAO:0000115 IAO:0000118 rdfs:lab el
omrse	http://purl.obolibrary.org/obo/omrse.owl	all	IAO:0000115 IAO:0000118 rdfs:label
pato	http://purl.obolibrary.org/obo/pato.owl	all	IAO:0000115 IAO:0000118 rdfs:label
pr	http://purl.obolibrary.org/obo/pr.owl	none	IAO:0000115 rdfs:label
so	http://purl.obolibrary.org/obo/so.owl	none	IAO:0000115 rdfs:label
uberon	http://purl.obolibrary.org/obo/uberon.owl	none	IAO:0000115 rdfs:label
uo	http://purl.obolibrary.org/obo/uo.owl	none	rdfs:label
vo	http://purl.obolibrary.org/obo/vo.owl	none	IAO:0000115 IAO:0000118 rdfs:label
