Source	ID	Label	Parent ID	Parent Label	Related
uberon	UBERON:0000002	uterine cervix			ancestors
uberon	UBERON:0000007	pituitary gland			ancestors
uberon	UBERON:0000029	lymph node			ancestors
uberon	UBERON:0000057	urethra			ancestors
uberon	UBERON:0000105	life cycle stage	GO:0008150	biological_process	
uberon	UBERON:0000165	mouth			ancestors
uberon	UBERON:0000173	amniotic fluid			ancestors
uberon	UBERON:0000178	blood			ancestors
uberon	UBERON:0000310	breast			ancestors
uberon	UBERON:0000316	cervical mucus			ancestors
uberon	UBERON:0000341	throat			ancestors
uberon	UBERON:0000362	renal medulla			ancestors
uberon	UBERON:0000463	organism substance			ancestors
uberon	UBERON:0000465	material anatomical entity	BFO:0000040	material entity	
uberon	UBERON:0000473	testis			ancestors
uberon	UBERON:0000477	anatomical cluster	BFO:0000040	material entity	
uberon	UBERON:0000479	tissue			ancestors
uberon	UBERON:0000481	multi-tissue structure			ancestors
uberon	UBERON:0000483	epithelium			ancestors
uberon	UBERON:0000945	stomach			ancestors
uberon	UBERON:0000947	aorta			ancestors
uberon	UBERON:0000948	heart			ancestors
uberon	UBERON:0000955	brain			ancestors
uberon	UBERON:0000956	cerebral cortex			ancestors
uberon	UBERON:0000970	eye			ancestors
uberon	UBERON:0000992	ovary			ancestors
uberon	UBERON:0000995	uterus			ancestors
uberon	UBERON:0000996	vagina			ancestors
uberon	UBERON:0001004	respiratory system			ancestors
uberon	UBERON:0001013	adipose tissue			ancestors
uberon	UBERON:0001037	strand of hair			ancestors
uberon	UBERON:0001052	rectum			ancestors
uberon	UBERON:0001087	pleural fluid			ancestors
uberon	UBERON:0001088	urine			ancestors
uberon	UBERON:0001089	sweat			ancestors
uberon	UBERON:0001090	synovial fluid			ancestors
uberon	UBERON:0001134	skeletal muscle tissue			ancestors
uberon	UBERON:0001155	colon			ancestors
uberon	UBERON:0001159	sigmoid colon			ancestors
uberon	UBERON:0001225	cortex of kidney			ancestors
uberon	UBERON:0001255	urinary bladder			ancestors
uberon	UBERON:0001264	pancreas			ancestors
uberon	UBERON:0001268	peritoneal fluid			ancestors
uberon	UBERON:0001323	tibial nerve			ancestors
uberon	UBERON:0001359	cerebrospinal fluid			ancestors
uberon	UBERON:0001557	upper respiratory tract			ancestors
uberon	UBERON:0001558	lower respiratory tract			ancestors
uberon	UBERON:0001567	cheek			ancestors
uberon	UBERON:0001621	coronary artery			ancestors
uberon	UBERON:0001638	vein			ancestors
uberon	UBERON:0001723	tongue			ancestors
uberon	UBERON:0001728	nasopharynx			ancestors
uberon	UBERON:0001729	oropharynx			ancestors
uberon	UBERON:0001797	vitreous humor			ancestors
uberon	UBERON:0001826	nasal cavity mucosa			ancestors
uberon	UBERON:0001830	minor salivary gland			ancestors
uberon	UBERON:0001836	saliva			ancestors
uberon	UBERON:0001873	caudate nucleus			ancestors
uberon	UBERON:0001874	putamen			ancestors
uberon	UBERON:0001913	milk			ancestors
uberon	UBERON:0001968	semen			ancestors
uberon	UBERON:0001970	bile			ancestors
uberon	UBERON:0001987	placenta			ancestors
uberon	UBERON:0001988	feces			ancestors
uberon	UBERON:0002032	areola			ancestors
uberon	UBERON:0002037	cerebellum			ancestors
uberon	UBERON:0002046	thyroid gland			ancestors
uberon	UBERON:0002048	lung			ancestors
uberon	UBERON:0002067	dermis			ancestors
uberon	UBERON:0002072	hypodermis			ancestors
uberon	UBERON:0002097	skin of body			ancestors
uberon	UBERON:0002106	spleen			ancestors
uberon	UBERON:0002107	liver			ancestors
uberon	UBERON:0002116	ileum			ancestors
uberon	UBERON:0002199	integument			ancestors
uberon	UBERON:0002358	peritoneum			ancestors
uberon	UBERON:0002367	prostate gland			ancestors
uberon	UBERON:0002369	adrenal gland			ancestors
uberon	UBERON:0002371	bone marrow			ancestors
uberon	UBERON:0002409	pericardial fluid			ancestors
uberon	UBERON:0002415	tail			ancestors
uberon	UBERON:0002469	esophagus mucosa			ancestors
uberon	UBERON:0002812	left cerebral hemisphere			ancestors
uberon	UBERON:0002813	right cerebral hemisphere			ancestors
uberon	UBERON:0003126	trachea			ancestors
uberon	UBERON:0003688	omentum			ancestors
uberon	UBERON:0004648	esophagus muscularis mucosa			ancestors
uberon	UBERON:0005022	mucosa of nasopharynx			ancestors
uberon	UBERON:0005023	mucosa of oropharynx			ancestors
uberon	UBERON:0005921	middle nasal concha			ancestors
uberon	UBERON:0006314	bodily fluid			ancestors
uberon	UBERON:0006538	respiratory system fluid/secretion			ancestors
uberon	UBERON:0006618	atrium auricular region			ancestors
uberon	UBERON:0006911	digestive system secreted substance			ancestors
uberon	UBERON:0007106	chorionic villus			ancestors
uberon	UBERON:0007109	meconium			ancestors
uberon	UBERON:0007311	sputum			ancestors
uberon	UBERON:0007610	tibial artery			ancestors
uberon	UBERON:0007650	esophagogastric junction			ancestors
uberon	UBERON:0010414	omental fat pad			ancestors
uberon	UBERON:0012168	umbilical cord blood			ancestors
uberon	UBERON:0013755	arterial blood			ancestors
uberon	UBERON:0013756	venous blood			ancestors
uberon	UBERON:0013757	capillary blood			ancestors
uberon	UBERON:0036149	suprapubic skin			ancestors
uberon	UBERON:3000016	anterior nasal wall			ancestors
