ontology ID	label	action	logical type	parent class
ID			CLASS_TYPE	C %
BFO:0000002	continuant	ignore		
BFO:0000004	independent continuant	ignore		
BFO:0000050	part of	relate		
BFO:0000051	has part	relate		
CL:0000000	cell	import		
CL:0000001	primary cultured cell	import		
CL:0000010	cultured cell	import		
CL:0000019	sperm	import		
CL:0000057	fibroblast	import		
CL:0000066	epithelial cell	import		
CL:0000077	mesothelial cell	import		
CL:0000084	T cell	import		
CL:0000094	granulocyte	ignore		
CL:0000096	mature neutrophil	ignore		
CL:0000097	mast cell	import		
CL:0000113	mononuclear phagocyte	ignore		
CL:0000125	glial cell	ignore		
CL:0000128	oligodendrocyte	import		
CL:0000145	professional antigen presenting cell	ignore		
CL:0000151	secretory cell	ignore		
CL:0000182	hepatocyte	import		
CL:0000211	electrically active cell	ignore		
CL:0000219	motile cell	ignore		
CL:0000232	erythrocyte	import		
CL:0000233	platelet	import		
CL:0000234	phagocyte	ignore		
CL:0000235	macrophage	import		
CL:0000236	B cell	import		
CL:0000255	eukaryotic cell	ignore		
CL:0000451	dendritic cell	import		
CL:0000457	biogenic amine secreting cell	ignore		
CL:0000540	neuron	import		
CL:0000542	lymphocyte	import		
CL:0000556	megakaryocyte	import		
CL:0000558	reticulocyte	import		
CL:0000560	band form neutrophil	import		
CL:0000562	nucleate erythrocyte	import		
CL:0000576	monocyte	import		
CL:0000578	experimentally modified cell in vitro	import		
CL:0000586	germ cell	ignore		
CL:0000623	natural killer cell	import		
CL:0000624	CD4-positive, alpha-beta T cell	import		
CL:0000625	CD8-positive, alpha-beta T cell	import		
CL:0000681	radial glial cell	import		
CL:0000738	leukocyte	import		
CL:0000763	myeloid cell	ignore		
CL:0000764	erythroid lineage cell	ignore		
CL:0000766	myeloid leukocyte	ignore		
CL:0000767	basophil	import		
CL:0000771	eosinophil	import		
CL:0000775	neutrophil	import		
CL:0000776	immature neutrophil	import		
CL:0000786	plasma cell	import		
CL:0000789	alpha-beta T cell	import		
CL:0000791	mature alpha-beta T cell	ignore		
CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	import		
CL:0000814	mature NK T cell	import		
CL:0000836	promyelocyte	import		
CL:0000839	myeloid lineage restricted progenitor cell	ignore		
CL:0000842	mononuclear leukocyte	import		
CL:0000945	lymphocyte of B lineage	ignore		
CL:0000988	hematopoietic cell	ignore		
CL:0001064	malignant cell	import		
CL:0002191	granulocytopoietic cell	ignore		
CL:0002192	metamyelocyte	import		
CL:0002193	myelocyte	import		
CL:0002242	nucleate cell	ignore		
CL:0002319	neural cell	import		
CL:0011012	neural crest cell	import		
CL:0011026	progenitor cell	ignore		
CL:0011114	segmented neutrophil of bone marrow	import		
CL:0011115	precursor cell	ignore		
CL:2000001	peripheral blood mononuclear cell	import		
